Provider_Number,Network,Facility_Name,Five_Star_Date,Five_Star,Five_Star_Data_Availability_Code,Address_Line_1,Address_Line_2,City,State,Zip,County,Profit_or_NonProfit,Chain_Owned,Chain_Organization,#_of_Dialysis_Stations,Offers_in-center_hemodialysis,Offers_peritoneal_dialysis,Offers_home_hemodialysis_training,Patient_Transfusion_category_text,Number_of_patients_included_in_the_transfusion_summary,Number_of_patients_in_hypercalcemia_summary,Number_of_patient-months_in_hypercalcemia_summary,Number_of_patients_in_Serum_phosphorus_summary,Number_of_patient-months_in_Serum_phosphorus_summary_,Patient_hospitalization_category_text,Patient_Hospital_Readmission_Category,Patient_Survival_Category_Text,patients_included_hospitalization_summary,hospitalizations_in_hospital_readmission_summary,Number_of_Patients_included_in_survival_summary,Mortality_Rate_(Facility),Readmission_Rate_(Facility),Hospitalization_Rate_(Facility),Patient_Infection_category_text,Transfusion_Rate_(Facility),Fistula_Category_Text,Number_of_Patients_included_in_fistula_summary,Fistula_Rate_(Facility),Number_of_patients_in_long_term_catheter_summary,Number_of_patient_months_in_long_term_catheter_summary,Number_of_patients_in_nPCR_summary,Number_of_patient-months_in_nPCR_summary,SWR_category_text,Number_of_patients_in_this_facility_for_SWR,PPPW_category_text,Number_of_patients_for_PPPW
162523,12,DAVITA NEWTON DIALYSIS,01/01/2016-12/31/2019,5,1,204 N 4TH AVE E  SUITE 134,,NEWTON,IA,50208,JASPER,Profit,Yes,DAVITA,8,1,0,0,As Expected,13,22,211,22,217,As Expected,As Expected,As Expected,16,20,70,16.5,24.6,187.2,As Expected,9.3,As Expected,22,70.2,22,218,0,,Not Available,13,As Expected,17
162524,12,DIALYSIS CLINIC INC. - ONAWA,01/01/2016-12/31/2019,3,1,1620 DIAMOND ST PLACE,,ONAWA,IA,51040,MONONA,Non-Profit,Yes,"DIALYSIS CLINIC, INC.",12,1,1,0,Not Available,17,25,205,28,209,As Expected,As Expected,As Expected,24,16,94,27.7,18.9,159.4,As Expected,,As Expected,26,54.4,26,205,0,,Not Available,10,As Expected,15
112867,6,DAVITA WEST HIRAM DIALYSIS,01/01/2016-12/31/2019,4,1,76 HIGHLAND PAVILION COURT,,HIRAM,GA,30141,PAULDING,Profit,Yes,DAVITA,13,1,1,1,As Expected,55,76,710,79,718,As Expected,As Expected,As Expected,59,66,198,23.1,35.1,193.4,As Expected,26.5,As Expected,76,72.1,76,677,0,,Not Available,19,As Expected,68
112868,6,"BIO-MEDICAL APPLICATIONS OF GEORGIA,LLC",01/01/2016-12/31/2019,,260,150 GENTILLY BOULEVARD,,CARTERSVILLE,GA,30120,BARTOW,Profit,Yes,FRESENIUS MEDICAL CARE,0,0,1,1,Not Available,18,26,229,25,234,As Expected,As Expected,As Expected,20,12,56,9.8,24.8,200.7,Not Available,,Not Available,0,,0,,0,,Not Available,8,As Expected,24
112869,6,DAVITA COLUMBUS HOME TRAINING (PD/HHD),01/01/2016-12/31/2019,,260,1200 BROOKSTONE CENTRE PARKWAY,SUITE 111,COLUMBUS,GA,31904,MUSCOGEE,Profit,Yes,DAVITA,0,0,1,1,As Expected,55,69,598,70,612,As Expected,As Expected,As Expected,64,49,229,24.2,20.8,163.6,Not Available,39.8,Not Available,10,,10,80,0,,As Expected,35,As Expected,67
142302,10,MT SINAI HOSP MED CTR RENAL UNIT,01/01/2016-12/31/2019,2,1,1500 S. CALIFORNIA AVE.,,CHICAGO,IL,60608,COOK,Non-Profit,No,INDEPENDENT,11,1,0,0,As Expected,52,81,721,79,734,As Expected,As Expected,As Expected,59,60,227,15,26.9,182.2,Not Available,30.9,Worse than Expected,82,32.8,82,752,0,,As Expected,29,As Expected,66
142313,10,JOHN H. STROGER JR.HOSPITAL OF COOK COUNTY,01/01/2016-12/31/2019,,260,DIALYSIS UNIT-CLINIC J,1969 W OGDEN AV,CHICAGO,IL,60612,COOK,Non-Profit,No,INDEPENDENT,9,1,1,0,Not Available,7,20,156,18,149,Not Available,Not Available,Not Available,8,7,36,,,,As Expected,,Worse than Expected,21,31.1,21,171,0,,As Expected,21,As Expected,18
142633,10,DAVITA ILLINI RENAL DIALYSIS,01/01/2016-12/31/2019,2,1,1004 W. ANTHONY DRIVE,,CHAMPAIGN,IL,61821,CHAMPAIGN,Profit,Yes,DAVITA,24,1,1,1,As Expected,72,119,950,122,954,As Expected,Worse than Expected,As Expected,85,124,317,24.8,39.6,270,As Expected,19.1,As Expected,101,52.7,101,799,0,,As Expected,48,As Expected,110
142733,10,DAVITA SPRINGFIELD SOUTH DIALYSIS,01/01/2016-12/31/2019,4,1,2930 SOUTH 6TH ST.,,SPRINGFIELD,IL,62703,SANGAMON,Profit,Yes,DAVITA,12,1,1,1,As Expected,64,88,763,91,762,As Expected,As Expected,As Expected,76,78,321,22.4,34.4,178.8,As Expected,2.4,As Expected,68,57.8,68,549,0,,As Expected,30,As Expected,80
142734,10,DAVITA DANVILLE HOME TRAINING,01/01/2016-12/31/2019,,260,3 POLAND ROAD,,DANVILLE,IL,61832,VERMILION,Profit,Yes,DAVITA,0,0,1,1,Not Available,13,22,184,25,200,As Expected,As Expected,As Expected,17,18,80,34.3,42,272.6,Not Available,,Not Available,5,,5,44,0,,Not Available,9,As Expected,19
142735,10,FMC - RIVER FOREST DIALYSIS,01/01/2016-12/31/2019,4,1,103 FOREST AVENUE,,RIVER FOREST,IL,60305,COOK,Profit,Yes,FRESENIUS MEDICAL CARE,24,1,1,1,As Expected,100,159,1423,165,1436,As Expected,As Expected,Better than Expected,122,99,437,13.5,18.8,168,As Expected,6.9,As Expected,136,54,136,1174,0,,Better than Expected,41,As Expected,133
142736,10,DAVITA BARRINGTON CREEK DIALYSIS,01/01/2016-12/31/2019,3,1,"28160 W. NORTHWEST HWY, SUITE 104",,LAKE BARRINGTON,IL,60010,LAKE,Profit,Yes,DAVITA,12,1,1,1,As Expected,31,42,354,44,360,As Expected,As Expected,As Expected,40,46,140,22,37.8,235.2,As Expected,20.7,As Expected,33,78,33,258,0,,Not Available,14,As Expected,24
142756,10,FMC - SOUTH DEERING DIALYSIS,01/01/2016-12/31/2019,3,1,10559 S TORRENCE AVE,,CHICAGO,IL,60617,COOK,Profit,Yes,FRESENIUS MEDICAL CARE,20,1,0,0,As Expected,43,60,596,60,602,As Expected,As Expected,As Expected,47,60,307,22.1,37.3,210.7,As Expected,12,As Expected,61,61.9,61,617,0,,Not Available,15,As Expected,51
142852,10,DIALYSIS CARE CENTER - MCHENRY,01/01/2016-12/31/2019,5,1,"612 S IL, ROUTE 31",,MCHENRY,IL,60050,,Profit,No,INDEPENDENT,14,1,0,0,Not Available,17,27,139,30,167,As Expected,As Expected,As Expected,25,19,25,15.3,16,138.7,Not Available,,As Expected,29,57.1,29,170,0,,Not Available,0,As Expected,17
142853,10,FMC - SPRINGFIELD EAST,01/01/2016-12/31/2019,,260,140 S. MARTIN LUTHER KING JR. DRIVE,,SPRINGFIELD,IL,62703,,Profit,Yes,FRESENIUS MEDICAL CARE,9,1,0,0,Not Available,6,13,60,17,70,Not Available,Not Available,Not Available,10,4,10,,,,Not Available,,As Expected,18,46.3,18,72,0,,Not Available,0,As Expected,17
142854,10,DAVITA FORD CITY DIALYSIS,01/01/2016-12/31/2019,,260,8159 S. CICERO AVE,,CHICAGO,IL,60652,,Profit,Yes,DAVITA,12,1,0,0,Not Available,3,6,24,8,28,Not Available,Not Available,Not Available,3,3,3,,,,Not Available,,Not Available,8,,8,29,0,,Not Available,0,As Expected,14
142855,10,DAVITA SALT CREEK DIALYSIS,01/01/2016-12/31/2019,,260,196 W. NORTH AVENUE,,VILLA PARK,IL,60181,,Profit,No,INDEPENDENT,12,1,0,0,Not Available,3,3,13,4,16,Not Available,Not Available,Not Available,3,4,3,,,,Not Available,,Not Available,4,,4,16,0,,Not Available,0,Not Available,3
142856,10,FKC - ELGIN,01/01/2016-12/31/2019,4,1,770 N MCLEAN BOULEVARD,,SOUTH ELGIN,IL,60177,,Profit,Yes,FRESENIUS MEDICAL CARE,12,1,0,0,Not Available,19,38,145,42,152,As Expected,As Expected,Not Available,24,14,24,,27.2,217.3,Not Available,,As Expected,43,54.6,43,161,0,,Not Available,0,As Expected,22
162525,12,FMC MIDWEST DIALYSIS,01/01/2016-12/31/2019,5,1,4000 INDIAN HILLS DR,,SIOUX CITY,IA,51108,WOODBURY,Profit,Yes,FRESENIUS MEDICAL CARE,16,1,0,0,As Expected,55,78,662,85,706,As Expected,As Expected,As Expected,65,63,276,22.2,21.2,113.9,Better than Expected,4.9,As Expected,85,64.9,85,704,0,,As Expected,33,As Expected,56
162526,12,DAVITA WEST UNION DIALYSIS CENTER,01/01/2016-12/31/2019,5,1,405 HIGHWAY 150 N,P O BOX 516,WEST UNION,IA,52175,FAYETTE,Profit,Yes,DAVITA,16,1,0,0,As Expected,21,29,257,32,268,As Expected,Not Available,As Expected,23,7,109,18.7,,82,As Expected,19.8,Better than Expected,31,92,31,263,0,,Not Available,13,As Expected,20
142776,10,DAVITA JOLIET HOME DIALYSIS (PD ONLY),01/01/2016-12/31/2019,3,1,368 SOUTH WEBER,,ROMEOVILLE,IL,60446,WILL,Profit,No,INDEPENDENT,0,0,1,0,As Expected,20,29,246,32,265,As Expected,As Expected,As Expected,22,20,95,28.3,41.7,202.9,Not Available,31.1,Not Available,0,,0,,0,,Not Available,15,As Expected,21
142777,10,DAVITA GARFIELD KIDNEY CENTER,01/01/2016-12/31/2019,4,1,414 N. HOMAN AVENUE,,CHICAGO,IL,60624,COOK,Profit,Yes,DAVITA,24,1,0,0,As Expected,59,108,908,108,899,Worse than Expected,As Expected,As Expected,67,82,317,25.8,31.7,291.6,As Expected,25,As Expected,110,71.6,110,941,0,,As Expected,52,As Expected,99
142778,10,FMC - NORMAL DIALYSIS,01/01/2016-12/31/2019,4,1,1531 E COLLEGE AVENUE,,NORMAL,IL,61761,MCLEAN,Profit,Yes,FRESENIUS MEDICAL CARE,12,1,0,0,As Expected,41,56,484,58,491,As Expected,As Expected,As Expected,48,63,186,20.6,26,223.3,As Expected,36.5,As Expected,56,66.8,56,494,0,,Not Available,13,As Expected,41
142779,10,NX STAGE KIDNEY CARE,01/01/2016-12/31/2019,2,1,1600 W 16TH ST  STE 13,,OAK BROOK,IL,60523,DUPAGE,Profit,No,INDEPENDENT,8,1,1,1,Worse than Expected,27,42,372,42,327,As Expected,As Expected,As Expected,33,37,105,21.5,25.3,169.6,Better than Expected,63.3,As Expected,41,48.2,41,342,0,,Not Available,18,As Expected,32
142316,10,DIALYSIS - UNIVERSITY OF ILLINOIS HOSPITAL,01/01/2016-12/31/2019,3,1,"1859 W TAYLOR , UIMCC MC 794, ROOM 1003",,CHICAGO,IL,60612,COOK,Profit,No,INDEPENDENT,24,1,1,1,As Expected,72,170,1561,173,1595,As Expected,As Expected,Better than Expected,128,127,566,14.2,23.5,196.3,As Expected,12.5,As Expected,154,58,154,1410,0,,Better than Expected,49,Better than Expected,161
142329,10,LOYOLA CENTER FOR DIALYSIS,01/01/2016-12/31/2019,4,1,1201 W ROOSEVELT RD,,MAYWOOD,IL,60153,COOK,Non-Profit,No,INDEPENDENT,31,1,1,0,As Expected,149,193,1869,204,1940,As Expected,As Expected,Better than Expected,172,162,674,14.2,20.9,148.1,As Expected,19.8,As Expected,182,49.9,182,1685,2,17,As Expected,68,As Expected,167
142337,10,UPH - HOME DIALYSIS CLINIC,01/01/2016-12/31/2019,,260,"5401 N KNOXVILLE AVENUE, SUITE 300",,PEORIA,IL,61614,,Profit,No,INDEPENDENT,1,0,1,1,Not Available,3,4,15,4,4,Not Available,Not Available,Not Available,3,0,3,,,,Not Available,,Not Available,3,,3,11,0,,Not Available,0,Not Available,4
142501,10,FMC - NEOMEDICA - NORTH KILPATRICK,01/01/2016-12/31/2019,5,1,4800 NORTH KILPATRICK,,CHICAGO,IL,60630,COOK,Profit,Yes,FRESENIUS MEDICAL CARE,28,1,1,1,As Expected,85,154,1422,158,1455,As Expected,As Expected,Better than Expected,110,131,453,15.1,33.6,238.3,As Expected,5.9,As Expected,141,73.6,141,1267,0,,As Expected,45,As Expected,119
142608,10,DAVITA BENTON DIALYSIS,01/01/2016-12/31/2019,4,1,1151 ROUTE 14 WEST,,BENTON,IL,62812,FRANKLIN,Profit,Yes,DAVITA,13,1,1,1,As Expected,36,57,479,59,495,As Expected,As Expected,As Expected,47,64,201,26.5,29.5,204.7,As Expected,33,As Expected,52,59.3,52,438,0,,Not Available,16,As Expected,40
142609,10,DAVITA CENTRALIA DIALYSIS,01/01/2016-12/31/2019,3,1,1231 STATE ROUTE 161 EAST,,CENTRALIA,IL,62801,MARION,Profit,Yes,DAVITA,14,1,1,1,As Expected,58,78,657,86,708,As Expected,As Expected,As Expected,64,90,273,20.6,30.9,193.6,As Expected,23.7,As Expected,74,60.6,74,576,0,,As Expected,33,As Expected,52
142737,10,ARA - MCHENRY DIALYSIS CENTER,01/01/2016-12/31/2019,3,1,"4209 W. SHAMROCK LANE, UNIT A",,MCHENRY,IL,60050,MCHENRY,Profit,Yes,AMERICAN RENAL ASSOCIATES,13,1,1,0,As Expected,24,40,305,41,315,As Expected,As Expected,As Expected,32,36,145,16.4,32.3,222.4,As Expected,14,As Expected,41,51.3,41,304,0,,Not Available,11,As Expected,25
142738,10,USRC - STREAMWOOD DIALYSIS,01/01/2016-12/31/2019,4,1,149 IRVING PARK,,STREAMWOOD,IL,60107,COOK,Profit,Yes,"US RENAL CARE, INC.",13,1,0,0,As Expected,29,55,512,60,543,As Expected,As Expected,As Expected,45,51,169,15.1,24,219,Better than Expected,18.1,As Expected,53,63.7,53,487,0,,Not Available,25,As Expected,44
112889,6,"FRESENIUS MEDICAL CARE BRASELTON, LLC",01/01/2016-12/31/2019,4,1,2349 SPARTA WAY,,BUFORD,GA,30519,GWINNETT,Profit,Yes,FRESENIUS MEDICAL CARE,17,1,1,1,As Expected,61,92,770,101,816,As Expected,As Expected,As Expected,71,54,244,21.2,29.6,191.4,Better than Expected,3.5,As Expected,84,55.2,84,659,0,,As Expected,42,As Expected,79
112890,6,"INNOVATIVE HOME DIALYSIS OF GEORGIA, LLC",01/01/2016-12/31/2019,,260,3753 MARIETTA HIGHWAY,SUITE 100,CANTON,GA,30114,CHEROKEE,Profit,Yes,"US RENAL CARE, INC.",1,0,1,1,As Expected,34,44,387,47,416,As Expected,Worse than Expected,As Expected,38,38,132,12,54,213.8,Not Available,42.8,Not Available,0,,0,,0,,As Expected,21,As Expected,37
112891,6,DAVITA SAVANNAH RIVERSIDE AT HOME,01/01/2016-12/31/2019,5,1,540 E OGLETHORPE AVE,,SAVANNAH,GA,31401,CHATHAM,Profit,Yes,DAVITA,16,1,1,1,As Expected,50,66,580,69,615,As Expected,As Expected,As Expected,54,53,183,22.5,24.5,174,As Expected,0,As Expected,61,61,61,537,0,,As Expected,29,As Expected,63
112892,6,DAVITA LOCUST GROVE DIALYSIS,01/01/2016-12/31/2019,3,1,521 STANLEY K. TANGER BLVD.,,LOCUST GROVE,GA,30248,HENRY,Profit,Yes,DAVITA,12,1,1,1,As Expected,40,50,429,50,415,As Expected,As Expected,As Expected,42,30,170,27.8,26.1,181.7,As Expected,4.4,As Expected,41,65.7,41,324,0,,Not Available,21,Better than Expected,50
142857,10,DAVITA BRICKYARD DIALYSIS,01/01/2016-12/31/2019,,260,2640 N. NARRAGANSETT AVE. SUITE D8,,CHICAGO,IL,60639,,Profit,Yes,DAVITA,12,1,0,0,Not Available,4,9,31,11,39,Not Available,Not Available,Not Available,4,6,4,,,,Not Available,,As Expected,11,72.8,11,39,0,,Not Available,0,As Expected,12
152604,9,US RENAL CARE-DALEVILLE,01/01/2016-12/31/2019,4,1,2220 E. 59TH STREET,,ANDERSON,IN,46013,DELAWARE,Profit,Yes,"US RENAL CARE, INC.",17,1,0,0,As Expected,36,47,418,49,445,As Expected,As Expected,As Expected,39,47,120,17.1,21.1,152.6,As Expected,18,As Expected,49,68.6,49,450,0,,Not Available,14,As Expected,39
152605,9,FMC NEW CASTLE,01/01/2016-12/31/2019,3,1,101 EMERSON AVENUE,,NEW CASTLE,IN,47362,HENRY,Profit,Yes,FRESENIUS MEDICAL CARE,21,1,0,0,As Expected,37,51,496,59,526,As Expected,As Expected,As Expected,49,82,202,16.5,24.7,217.5,As Expected,47.4,As Expected,59,58.9,59,514,0,,Not Available,29,As Expected,43
152606,9,FMC - WINCHESTER IN,01/01/2016-12/31/2019,4,1,"409 GREENVILLE AVENUE,  STE 500",,WINCHESTER,IN,47394,RANDOLPH,Profit,Yes,FRESENIUS MEDICAL CARE,12,1,0,0,Worse than Expected,37,48,429,51,454,As Expected,As Expected,As Expected,46,47,180,16.6,21.5,137.6,As Expected,51.7,As Expected,50,67.8,50,445,0,,Not Available,23,As Expected,34
152607,9,DSI - NORTH MUNCIE,01/01/2016-12/31/2019,3,1,2705 W NORTH STREET,,MUNCIE,IN,47303,DELAWARE,Profit,Yes,"US RENAL CARE, INC.",30,1,1,1,As Expected,81,121,1041,126,1080,As Expected,As Expected,As Expected,100,124,446,20.2,17.6,160.3,As Expected,10.8,As Expected,105,64.8,105,902,0,,As Expected,39,As Expected,85
142780,10,FMC - WEST FRANKFORT HOME THERAPIES,01/01/2016-12/31/2019,5,1,5 WEST FRANKFORT PLAZA,,WEST FRANKFORT,IL,62896,FRANKLIN,Profit,Yes,FRESENIUS MEDICAL CARE,1,0,1,0,Not Available,18,21,166,21,177,As Expected,As Expected,As Expected,20,19,55,23.1,14.1,186.4,Not Available,,Not Available,1,,1,10,0,,Not Available,8,As Expected,19
142781,10,FMC - AVANTUS HOME THERAPY,01/01/2016-12/31/2019,,260,901 W. UNIVERSITY AVE  SUITE 302,,URBANA,IL,61801,CHAMPAIGN,Profit,Yes,FRESENIUS MEDICAL CARE,0,0,1,1,Not Available,15,30,225,30,244,As Expected,As Expected,As Expected,19,15,72,23.3,29,167.3,Not Available,,Not Available,2,,2,19,0,,Not Available,13,As Expected,30
152512,9,DAVITA MARION COUNTY DIALYSIS,01/01/2016-12/31/2019,4,1,3834  SOUTH EMERSON AVENUE BUILDING B,,INDIANAPOLIS,IN,46203,MARION,Profit,Yes,DAVITA,24,1,0,0,As Expected,54,84,758,89,788,Worse than Expected,As Expected,As Expected,67,93,336,18.8,37.9,273.3,As Expected,9.6,As Expected,88,63.4,88,777,0,,As Expected,40,As Expected,68
152515,9,FMC - NORTHEAST INDIANA KIDNEY CTR - FORT WAYNE,01/01/2016-12/31/2019,4,1,"7836 W. JEFFERSON BLVD.,  SUITE LL10",,FORT WAYNE,IN,46804,ALLEN,Profit,Yes,FRESENIUS MEDICAL CARE,24,1,1,1,As Expected,65,107,889,115,924,As Expected,As Expected,As Expected,80,102,350,20.6,24.1,219.8,As Expected,14,As Expected,85,59.6,85,678,0,,Not Available,18,As Expected,96
152516,9,FMC - GRANT COUNTY DIALYSIS,01/01/2016-12/31/2019,3,1,1797 WEST KEM ROAD,,MARION,IN,46952,GRANT,Profit,Yes,FRESENIUS MEDICAL CARE,24,1,1,1,Worse than Expected,96,141,1344,146,1372,As Expected,As Expected,As Expected,115,126,453,18.2,29.9,166.9,As Expected,44.8,As Expected,128,50.1,128,1204,0,,As Expected,47,As Expected,106
142611,10,FMC - PONTIAC,01/01/2016-12/31/2019,3,1,804 W. MADISON ST.,,PONTIAC,IL,61764,LIVINGSTON,Profit,Yes,FRESENIUS MEDICAL CARE,10,1,0,0,As Expected,26,40,384,44,410,As Expected,As Expected,As Expected,35,46,135,16.9,15.3,182.6,As Expected,12.4,As Expected,45,42.1,45,423,0,,Not Available,12,As Expected,42
142612,10,FMC - ELMHURST DIALYSIS CENTER,01/01/2016-12/31/2019,5,1,133 E. BRUSH HILL RD.,,ELMHURST,IL,60126,DUPAGE,Profit,Yes,FRESENIUS MEDICAL CARE,28,1,1,1,As Expected,84,137,1265,149,1337,As Expected,As Expected,As Expected,104,105,428,19.3,22.5,146,Better than Expected,12.2,As Expected,149,72.3,149,1334,0,,As Expected,56,As Expected,110
142613,10,FMC - PEORIA NORTH,01/01/2016-12/31/2019,5,1,10405 N. JULIET COURT,,PEORIA,IL,61615,PEORIA,Profit,Yes,FRESENIUS MEDICAL CARE,21,1,0,1,As Expected,102,148,1161,152,1203,As Expected,As Expected,As Expected,123,120,509,24.2,21.2,196.4,Better than Expected,5.7,As Expected,151,60.7,151,1188,0,,As Expected,50,Better than Expected,125
142715,10,DAVITA COBBLESTONE DIALYSIS,01/01/2016-12/31/2019,5,1,836 DUNDEE AVE.,,ELGIN,IL,60120,KANE,Profit,Yes,DAVITA,16,1,0,0,As Expected,55,85,759,85,756,As Expected,As Expected,As Expected,67,86,279,16,26.5,235.4,As Expected,6,As Expected,86,64.3,86,775,1,2,As Expected,38,As Expected,71
142716,10,DAVITA CRYSTAL SPRINGS DIALYSIS,01/01/2016-12/31/2019,4,1,720 COG CIRCLE,,CRYSTAL LAKE,IL,60014,MCHENRY,Profit,Yes,DAVITA,16,1,0,0,As Expected,39,57,466,58,471,As Expected,As Expected,As Expected,53,69,239,16.5,23.7,199.4,As Expected,14.6,As Expected,57,58.3,57,475,0,,Not Available,21,As Expected,44
152551,9,FMC - SHELBYVILLE,01/01/2016-12/31/2019,4,1,2500 PARKWAY DR.,,SHELBYVILLE,IN,46176,SHELBY,Profit,Yes,FRESENIUS MEDICAL CARE,12,1,0,0,As Expected,38,51,371,51,389,As Expected,As Expected,As Expected,46,58,160,22.4,38.1,212.1,As Expected,44.8,As Expected,52,63.9,52,397,0,,As Expected,31,As Expected,36
152552,9,FMC - HENDRICKS COUNTY,01/01/2016-12/31/2019,3,1,1594 E MAIN STREET,,DANVILLE,IN,46122,HENDRICKS,Profit,Yes,FRESENIUS MEDICAL CARE,21,1,1,1,As Expected,47,83,764,89,799,As Expected,As Expected,As Expected,63,93,263,26.6,29.6,191.6,As Expected,0,As Expected,69,59.3,69,615,0,,As Expected,41,As Expected,73
152553,9,FMC - MORGAN COUNTY,01/01/2016-12/31/2019,5,1,2084 HOSPITAL DRIVE,,MARTINSVILLE,IN,46151,MORGAN,Profit,Yes,FRESENIUS MEDICAL CARE,12,1,0,0,As Expected,34,51,441,52,464,As Expected,As Expected,As Expected,42,46,197,18.9,24.6,164.6,As Expected,4.4,As Expected,53,63.5,53,471,0,,Not Available,20,As Expected,40
152554,9,FMC - FLOYD COUNTY,01/01/2016-12/31/2019,5,1,807 TALAINA PLACE,,NEW ALBANY,IN,47150,FLOYD,Profit,Yes,FRESENIUS MEDICAL CARE,21,1,0,0,As Expected,68,102,933,109,988,As Expected,As Expected,Better than Expected,88,108,327,14.7,20.4,146.3,Better than Expected,2,As Expected,105,60.9,105,964,0,,Not Available,30,As Expected,66
152556,9,FMC - NOBLESVILLE DIALYSIS,01/01/2016-12/31/2019,4,1,165 SHERIDAN ROAD,,NOBLESVILLE,IN,46060,HAMILTON,Profit,Yes,FRESENIUS MEDICAL CARE,12,1,1,1,As Expected,59,92,846,96,873,As Expected,As Expected,As Expected,71,75,316,20.8,25.2,173.4,As Expected,21.1,As Expected,74,68.3,74,601,0,,As Expected,29,As Expected,73
152558,9,FMC - COLUMBUS BARTHOLOMEW,01/01/2016-12/31/2019,5,1,"2325 18TH STREET, SUITE 120",,COLUMBUS,IN,47201,BARTHOLOMEW,Profit,Yes,FRESENIUS MEDICAL CARE,14,1,1,1,As Expected,70,112,925,119,983,As Expected,As Expected,As Expected,90,97,353,18.5,24.1,167.2,Better than Expected,34.3,As Expected,92,66.3,92,769,0,,Not Available,15,As Expected,82
142837,10,FKC - EAST AURORA,01/01/2016-12/31/2019,5,1,810 NORTH FARNSWORTH AVENUE,,AURORA,IL,60505,KANE,Profit,Yes,FRESENIUS MEDICAL CARE,12,1,1,0,As Expected,31,55,386,59,410,As Expected,As Expected,As Expected,40,31,57,12.4,28.1,126.7,Better than Expected,0,As Expected,59,69.3,59,420,0,,Not Available,6,As Expected,47
142838,10,DAVITA FOXPOINT DIALYSIS,01/01/2016-12/31/2019,3,1,1300 SCHAEFER RD. SUITE J,,GRANITE CITY,IL,62040,MADISON,Profit,Yes,DAVITA,12,1,0,0,Not Available,15,21,125,23,151,As Expected,As Expected,Not Available,16,12,21,,20.4,157.7,As Expected,,As Expected,23,41.6,23,152,0,,Not Available,5,As Expected,16
142839,10,FKC - BELLEVILLE,01/01/2016-12/31/2019,3,1,6525 W MAIN STREET,,BELLEVILLE,IL,62223,SAINT CLAIR,Profit,Yes,FRESENIUS MEDICAL CARE,12,1,0,0,As Expected,35,52,410,55,448,As Expected,As Expected,As Expected,39,48,61,8.4,32.9,190.5,Better than Expected,41.6,As Expected,55,52,55,454,0,,Not Available,11,As Expected,51
152583,9,FMC - HUNTINGTON DIALYSIS,01/01/2016-12/31/2019,3,1,"2859 NORTH PARK AVENUE, STE. 111 & 112",,HUNTINGTON,IN,46750,HUNTINGTON,Profit,Yes,FRESENIUS MEDICAL CARE,12,1,0,0,As Expected,42,57,477,62,501,As Expected,As Expected,As Expected,51,62,165,21.7,31.9,175.1,As Expected,8.8,As Expected,57,57.7,57,482,0,,Not Available,22,As Expected,49
152584,9,FMC- LOGANSPORT DIALYSIS,01/01/2016-12/31/2019,3,1,1333 SMITH ST,,LOGANSPORT,IN,46947,CASS,Profit,Yes,FRESENIUS MEDICAL CARE,12,1,0,0,As Expected,38,57,485,60,507,As Expected,As Expected,As Expected,45,66,204,23.8,27.8,180.6,Better than Expected,4.5,As Expected,60,55.1,60,505,0,,Not Available,19,As Expected,40
152585,9,FMC - SHADELAND STATION,01/01/2016-12/31/2019,3,1,7155 SHADELAND STATION STE 130,,INDIANAPOLIS,IN,46256,MARION,Profit,Yes,FRESENIUS MEDICAL CARE,24,1,1,1,As Expected,107,118,1027,128,1068,As Expected,As Expected,As Expected,120,150,479,19,32.8,227.3,Better than Expected,13.1,As Expected,128,46.6,128,1072,0,,As Expected,48,As Expected,92
102627,7,DAVITA QUINCY DIALYSIS,01/01/2016-12/31/2019,4,1,878 STRONG RD,,QUINCY,FL,32351,GADSDEN,Profit,Yes,DAVITA,22,1,0,0,As Expected,70,104,974,105,976,As Expected,As Expected,As Expected,79,91,319,23.2,29,215.5,As Expected,26.6,As Expected,108,58.4,108,999,0,,As Expected,34,As Expected,85
102628,7,DAVITA GULF COAST DIALYSIS,01/01/2016-12/31/2019,5,1,3300 TAMIAMI TRAIL SUITE 101A,,PORT CHARLOTTE,FL,33952,CHARLOTTE,Profit,Yes,DAVITA,1,0,1,0,Not Available,11,15,82,14,81,As Expected,Not Available,As Expected,14,4,56,11.3,,153.1,Not Available,,Not Available,0,,0,,0,,Not Available,3,As Expected,13
102629,7,FMC - TAMARAC,01/01/2016-12/31/2019,3,1,7059 NW 88TH AVE,,TAMARAC,FL,33321,BROWARD,Profit,Yes,FRESENIUS MEDICAL CARE,24,1,0,0,As Expected,80,122,1037,136,1084,Worse than Expected,As Expected,As Expected,101,141,369,20.5,33.8,275,As Expected,7.8,As Expected,132,68.2,132,1066,0,,As Expected,47,As Expected,88
102630,7,DAVITA CENTER FOR KIDNEY DISEASE AT VENTURE,01/01/2016-12/31/2019,4,1,1680 NE 164TH ST,,NORTH MIAMI BEACH,FL,33162,MIAMI-DADE,Profit,Yes,DAVITA,16,1,0,0,As Expected,72,92,789,93,789,As Expected,As Expected,As Expected,80,83,306,21.6,26.4,215.5,As Expected,10.6,As Expected,94,68.9,94,792,0,,As Expected,17,As Expected,70
